נבדק ואושר,סוג נכס,מהות עסקה,מקור,"ת""ח",חלקה,גוש,תאריך עסקה,עיר,רחוב,מספר,כניסה,דירה,מחיר מוצהר,מחיר מוערך,שטח ברוטו,שטח נטו,מגרש,חדרים,מחיר למר,מחיר לחדר,גלריה,מרפסת,קומה,קומות,דירות בבנין,מעלית,חניה,מחסן,גג,חצר,שנת בניה,זכויות בניה,אחוזי בניה,תפקוד הבנין,מהות הזכות,תפקוד היחידה  ,שומה חלקים,
לא,דירת מגורים,דירה בבית קומות,רשות,0,263,7109,25/03/2021,תל אביב -יפו,בק ישראל,0,,0,3346000    ,3346000    ,69,69,0,3,48493    ,1115333    ,0,,5,7,20,,1,0,0,0,2021,,,מגורים,בעלות,דירה בבית קומות,1,
לא,דירת מגורים,דירה בבית קומות,רשות,0,263,7109,22/03/2021,תל אביב -יפו,בק ישראל,0,,0,2882500    ,2882500    ,60,60,0,3,48042    ,960833    ,0,,4,7,20,,1,0,0,0,2021,,,מגורים,בעלות,דירה בבית קומות,1,
לא,דירת מגורים,דירה בבית קומות,רשות,0,263,7109,16/03/2021,תל אביב -יפו,בק ישראל,0,,0,3170000    ,3170000    ,83,83,0,3,38193    ,1056667    ,0,,5,7,20,,1,0,0,0,2021,,,מגורים,בעלות,דירה בבית קומות,1,
לא,דירת מגורים,דירה בבית קומות,רשות,0,263,7109,11/03/2021,תל אביב -יפו,בק ישראל,0,,0,2280000    ,2280000    ,50,50,0,2,45600    ,1140000    ,0,,2,7,20,,1,0,0,0,2021,,,מגורים,בעלות,דירה בבית קומות,1,
לא,דירת מגורים,דירה בבית קומות,רשות,10,406,7109,11/03/2021,תל אביב -יפו,קארו יוסף,7,,7,1750000    ,1750000    ,35,30,0,2,58333    ,875000    ,0,,2,7,26,,1,0,0,0,1995,,,מגורים,בעלות,דירה בבית קומות,1,
לא,דירת מגורים,דירה בבית קומות,רשות,0,263,7109,04/03/2021,תל אביב -יפו,בק ישראל,1,,13,2604000    ,2604000    ,60,60,0,3,43400    ,868000    ,0,,3,6,19,,0,0,0,0,2021,,,מגורים,בעלות,דירה בבית קומות,1,
לא,דירת מגורים,דירה בבית קומות,רשות,0,263,7109,02/03/2021,תל אביב -יפו,בק ישראל,19,,4,2565500    ,2565500    ,57,57,0,2,45009    ,1282750    ,0,,1,8,19,,0,0,0,0,2021,,,מגורים,בעלות,דירה בבית קומות,1,
לא,דירת מגורים,דירה בבית קומות,רשות,0,263,7109,25/02/2021,תל אביב -יפו,תל אביב -י - ללא רחו,1,,1,2410800    ,2410800    ,55,55,0,2,43833    ,1205400    ,0,,1,8,19,,0,0,0,0,2021,,,מגורים,בעלות,דירה בבית קומות,1,
לא,דירת מגורים,דירה בבית קומות,רשות,-1,263,7109,25/02/2021,תל אביב -יפו,תל אביב -י - ללא רחו,1,,1,2367750    ,2367750    ,55,55,0,2,43050    ,1183875    ,0,,3,8,19,,0,0,0,0,2021,,,מגורים,בעלות,דירה בבית קומות,1,
לא,דירת מגורים,דירה בבית קומות,רשות,10,119,6951,25/02/2021,תל אביב -יפו,הנביאים,31,,9,2925500    ,2925500    ,66,66,0,2,44326    ,1462750    ,0,,2,4,15,,0,0,0,0,1940,,,מגורים,בעלות,דירה בבית קומות,1,
לא,דירת מגורים,דירה בבית קומות,רשות,10,12,9032,24/02/2021,תל אביב -יפו,איגר עקיבא,10,,9,1645000    ,1645000    ,55,55,0,3,29909    ,548333    ,0,,3,4,14,,0,0,0,0,1960,,,מגורים,בעלות,דירה בבית קומות,1,
לא,דירת מגורים,דירה בבית קומות,רשות,8,263,7109,24/02/2021,תל אביב -יפו,תל אביב -י - ללא רחו,10,,8,2646000    ,2646000    ,58,58,0,2,45621    ,1323000    ,0,,2,8,19,,0,0,0,0,2021,,,מגורים,בעלות,דירה בבית קומות,1,
לא,דירת מגורים,דירה בבית קומות,רשות,13,263,7109,24/02/2021,תל אביב -יפו,"ישראל ב""ק",10,,13,2326275    ,2326275    ,51,51,0,2,45613    ,1163138    ,0,,3,8,19,,0,0,0,0,2021,,,מגורים,בעלות,דירה בבית קומות,1,
לא,דירת מגורים,דירה בבית קומות,רשות,0,146,6904,18/02/2021,תל אביב -יפו,מלצט,68,,11,9700000    ,9700000    ,122,122,0,5,79508    ,1940000    ,0,,5,6,11,,0,0,0,0,2020,,,מגורים,בעלות,דירה בבית קומות,1,
לא,דירת מגורים,דירה בבית קומות,רשות,0,38,6920,14/02/2021,תל אביב -יפו,אחד העם,13,,1,4155895    ,4155895    ,48,48,0,2,86581    ,2077948    ,0,,1,5,69,,0,0,0,0,2024,,,מגורים,בעלות כפופה לחכירה,דירה בבית קומות,1,
לא,דירת מגורים,דירה בבית קומות,רשות,10,53,7228,14/02/2021,תל אביב -יפו,גרוזנברג,13,,1,2700000    ,2700000    ,47,47,0,2,57447    ,1350000    ,0,,2,4,15,,0,0,0,0,1970,,,מגורים,בעלות,דירה בבית קומות,1,
לא,דירת מגורים,דירה בבית קומות,רשות,10,43,6951,11/02/2021,תל אביב -יפו,הנביאים,19,,10,3140000    ,3140000    ,68,53,0,3,59245    ,1046667    ,0,,3,3,12,,0,0,0,0,1930,,,מגורים,בעלות,דירה בבית קומות,1,
לא,דירת מגורים,דירה בבית קומות,רשות,0,309,6135,08/02/2021,תל אביב -יפו,דרך משה דיין,29,,38,1710000    ,1710000    ,74,74,0,4,23108    ,427500    ,0,,7,8,48,,0,0,0,0,1981,,,מגורים,בעלות כפופה לחכירה,דירה בבית קומות,1,
לא,דירת מגורים,דירה בבית קומות,רשות,0,64,6213,03/02/2021,תל אביב -יפו,אבן גבירול,144,,16,3645031    ,3645031    ,63,63,0,3,57858    ,1215010    ,0,,4,8,50,,0,0,0,0,2021,,,מגורים,בעלות,דירה בבית קומות,1,
